Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Jessica Smith,2003,San Jose,California Institute of Technology,Biology,B.Tech,Artificial Intelligence,Philosophy,Product Manager,Microsoft,Finance,11,"Docker, Java, C++","Business Strategy, Renewable Energy"
Bob Walker,2007,Dallas,MIT,Computer Science,M.Tech,Renewable Energy,Linguistics,Full Stack Developer,Adobe,Education,17,"React, Docker, Python","AI, Robotics"
Alice Lee,2005,Chicago,"University of California, Berkeley",Electrical Engineering,M.Tech,Software Engineering,Statistics,Consultant,Intel,Healthcare,5,"Kubernetes, React, Java","AI, Blockchain"
Michael Johnson,2001,Houston,Princeton University,Business Administration,MBA,Cybersecurity,Statistics,Software Engineer,Amazon,Healthcare,15,"Keras, AWS, CSS","Renewable Energy, Blockchain"
David Lewis,2012,New York,Stanford University,Economics,B.Tech,Artificial Intelligence,Linguistics,Marketing Manager,Facebook,Energy,16,"Docker, Java, Git","AI, Renewable Energy"
John Clark,2009,San Diego,University of Pennsylvania,Economics,BBA,Data Science,Law,Marketing Manager,Adobe,Telecommunications,9,"Keras, CSS, Git","Cybersecurity, ML"
Michael Scott,2009,Philadelphia,Harvard University,Chemistry,M.Tech,Financial Engineering,Statistics,Full Stack Developer,Adobe,Government,29,"Python, SQL, Django","Data Science, IoT"
Robert Clark,2000,Houston,Harvard University,Business Administration,M.Sc,Business Analytics,Statistics,Full Stack Developer,Netflix,Healthcare,1,"Docker, Keras, JavaScript","Robotics, ML"
Bob Taylor,2010,Dallas,University of Pennsylvania,Electrical Engineering,M.Tech,Financial Engineering,Psychology,DevOps Engineer,Amazon,Energy,19,"SQL, TensorFlow, Java","Cybersecurity, Renewable Energy"
Bob Lewis,2004,Dallas,University of Chicago,Economics,MBA,Data Science,Art History,Product Manager,Facebook,Automotive,19,"AWS, Python, Git","Renewable Energy, Data Science"
Robert Smith,2023,New York,Yale University,Mathematics,MBA,Robotics,Law,DevOps Engineer,Netflix,Telecommunications,21,"CSS, SQL, React","Quantum Computing, Business Strategy"
Michael Lewis,2007,Dallas,MIT,Computer Science,PhD,Data Science,Philosophy,Business Analyst,IBM,Consulting,15,"Python, HTML, TensorFlow","Renewable Energy, AI"
Michael Taylor,2023,San Jose,Harvard University,Electrical Engineering,B.Tech,Quantum Computing,Psychology,Software Engineer,Google,Automotive,19,"Kubernetes, HTML, Keras","IoT, ML"
Sarah Lewis,2015,Dallas,Princeton University,Civil Engineering,M.Tech,Cybersecurity,Art History,DevOps Engineer,IBM,Consulting,22,"Git, Kubernetes, CSS","Quantum Computing, Blockchain"
Bob Lee,2020,Chicago,California Institute of Technology,Economics,BBA,Cybersecurity,Statistics,Full Stack Developer,Adobe,Energy,17,"React, TensorFlow, Git","Quantum Computing, Data Science"
Bob Brown,2023,San Jose,University of Chicago,Physics,B.Tech,Data Science,Environmental Science,Consultant,Facebook,Retail,2,"CSS, Git, Keras","AI, Robotics"
Alice Smith,2023,Phoenix,University of Chicago,Civil Engineering,B.Tech,Software Engineering,Linguistics,Product Manager,Intel,Consulting,30,"C++, Git, Java","Data Science, Robotics"
David Brown,2023,Chicago,University of Pennsylvania,Electrical Engineering,BBA,Financial Engineering,Political Science,Product Manager,Amazon,Healthcare,3,"React, Python, JavaScript","Business Strategy, Data Science"
Robert Walker,2018,Philadelphia,Stanford University,Business Administration,PhD,Business Analytics,Statistics,Research Scientist,Netflix,Automotive,13,"JavaScript, Kubernetes, HTML","AI, Blockchain"
Michael Brown,2015,Phoenix,California Institute of Technology,Computer Science,B.Tech,Data Science,Art History,Operations Manager,Intel,Technology,25,"Docker, Java, HTML","Quantum Computing, Business Strategy"
Alice Anderson,2003,Los Angeles,University of Pennsylvania,Physics,MBA,Data Science,Linguistics,Research Scientist,Adobe,Automotive,23,"Python, AWS, Django","ML, Blockchain"
Bob Taylor,2007,Dallas,Yale University,Electrical Engineering,BBA,Data Science,Law,Data Scientist,Facebook,Healthcare,4,"Java, TensorFlow, Keras","ML, Data Science"
John Lewis,2008,Houston,"University of California, Berkeley",Electrical Engineering,PhD,Business Analytics,History,Full Stack Developer,Netflix,Technology,15,"SQL, CSS, Docker","IoT, AI"
Sarah Scott,2007,Philadelphia,University of Chicago,Electrical Engineering,PhD,Machine Learning,Political Science,Product Manager,Microsoft,Automotive,13,"Django, Kubernetes, Keras","ML, Robotics"
Jessica Walker,2018,San Diego,Harvard University,Business Administration,M.Sc,Artificial Intelligence,Law,Product Manager,Tesla,Consulting,5,"HTML, SQL, C++","ML, Cybersecurity"
Robert Scott,2022,San Diego,Stanford University,Biology,PhD,Data Science,Art History,Data Scientist,IBM,Telecommunications,1,"AWS, SQL, Python","Blockchain, AI"
John Smith,2018,Chicago,University of Chicago,Mathematics,BBA,Software Engineering,Psychology,Marketing Manager,Intel,Telecommunications,29,"HTML, Java, CSS","Cybersecurity, ML"
John Clark,2012,San Antonio,Harvard University,Economics,M.Sc,Cybersecurity,Political Science,DevOps Engineer,Apple,Energy,15,"CSS, TensorFlow, C++","Business Strategy, IoT"
Linda Lee,2002,Philadelphia,University of Pennsylvania,Mechanical Engineering,MBA,Cybersecurity,Psychology,Marketing Manager,IBM,Government,5,"JavaScript, HTML, Docker","IoT, ML"
Bob Smith,2021,Dallas,"University of California, Berkeley",Mathematics,PhD,Financial Engineering,Law,Consultant,Netflix,Energy,5,"JavaScript, Kubernetes, HTML","AI, Cybersecurity"
Linda Lee,2017,Dallas,University of Chicago,Business Administration,PhD,Quantum Computing,Psychology,Consultant,Microsoft,Retail,24,"Git, Java, JavaScript","Renewable Energy, Cybersecurity"
Jessica Walker,2005,New York,University of Pennsylvania,Computer Science,B.Sc,Robotics,Law,Full Stack Developer,IBM,Technology,17,"AWS, SQL, Docker","Renewable Energy, Cybersecurity"
Alice Brown,2008,Philadelphia,Yale University,Mechanical Engineering,M.Tech,Artificial Intelligence,Linguistics,Research Scientist,Tesla,Finance,27,"Keras, Kubernetes, Java","Data Science, AI"
Linda Smith,2022,San Jose,University of Pennsylvania,Chemistry,B.Tech,Data Science,Linguistics,Business Analyst,Apple,Telecommunications,20,"CSS, Git, Django","ML, Quantum Computing"
Robert Lewis,2019,San Jose,MIT,Mechanical Engineering,MBA,Software Engineering,Philosophy,Research Scientist,Intel,Education,6,"Java, Python, Docker","Data Science, Renewable Energy"
Jessica Brown,2002,Los Angeles,California Institute of Technology,Civil Engineering,M.Sc,Software Engineering,Political Science,Operations Manager,Amazon,Healthcare,20,"Keras, AWS, CSS","IoT, Business Strategy"
David Taylor,2012,Houston,Columbia University,Mechanical Engineering,M.Tech,Business Analytics,Law,Research Scientist,IBM,Telecommunications,25,"AWS, TensorFlow, SQL","Renewable Energy, Robotics"
Bob Johnson,2004,Dallas,California Institute of Technology,Physics,MBA,Robotics,Philosophy,Product Manager,Microsoft,Telecommunications,16,"Docker, CSS, Keras","AI, Business Strategy"
Jessica Johnson,2005,San Jose,Stanford University,Physics,PhD,Quantum Computing,Philosophy,Marketing Manager,Apple,Consulting,28,"C++, JavaScript, Django","Cybersecurity, Quantum Computing"
Linda Clark,2019,New York,University of Pennsylvania,Electrical Engineering,M.Tech,Robotics,Philosophy,Operations Manager,Intel,Technology,13,"HTML, C++, CSS","Blockchain, Data Science"
Emily Anderson,2005,Philadelphia,Princeton University,Economics,B.Tech,Financial Engineering,Political Science,Software Engineer,Facebook,Consulting,25,"C++, CSS, Django","Renewable Energy, Blockchain"
Michael Brown,2002,Phoenix,Harvard University,Civil Engineering,PhD,Software Engineering,Political Science,Product Manager,IBM,Finance,16,"AWS, JavaScript, Python","Renewable Energy, Blockchain"
Bob Johnson,2018,San Diego,University of Chicago,Business Administration,B.Sc,Robotics,Philosophy,Consultant,Facebook,Automotive,2,"Python, Git, JavaScript","Business Strategy, Renewable Energy"
Jessica Johnson,2010,Houston,MIT,Civil Engineering,B.Sc,Business Analytics,Law,Consultant,Microsoft,Finance,6,"C++, TensorFlow, Keras","Data Science, Robotics"
Bob Walker,2023,Phoenix,University of Chicago,Economics,PhD,Renewable Energy,Philosophy,Consultant,Google,Healthcare,5,"Keras, HTML, AWS","ML, Quantum Computing"
Jessica Clark,2013,San Jose,California Institute of Technology,Civil Engineering,MBA,Financial Engineering,Psychology,Research Scientist,Facebook,Telecommunications,2,"AWS, React, C++","Robotics, IoT"
Jessica Brown,2005,San Antonio,University of Chicago,Physics,BBA,Software Engineering,Statistics,Data Scientist,Microsoft,Healthcare,14,"HTML, Java, Git","Robotics, IoT"
John Clark,2010,San Antonio,University of Pennsylvania,Biology,B.Tech,Artificial Intelligence,Political Science,Operations Manager,IBM,Government,24,"Python, HTML, React","Renewable Energy, Business Strategy"
Linda Lewis,2015,Chicago,University of Pennsylvania,Mechanical Engineering,M.Sc,Data Science,Linguistics,Full Stack Developer,Google,Consulting,3,"React, Django, Git","Blockchain, ML"
David Anderson,2003,San Diego,University of Chicago,Computer Science,M.Sc,Business Analytics,Political Science,DevOps Engineer,Google,Education,13,"Git, React, Keras","Renewable Energy, IoT"
Bob Walker,2016,San Diego,University of Chicago,Business Administration,B.Sc,Cybersecurity,Statistics,Consultant,Apple,Government,18,"Java, CSS, C++","Renewable Energy, ML"
Robert Scott,2016,Dallas,MIT,Chemistry,M.Tech,Renewable Energy,Philosophy,DevOps Engineer,Tesla,Education,16,"TensorFlow, Java, AWS","Cybersecurity, ML"
Emily Johnson,2014,Dallas,"University of California, Berkeley",Business Administration,PhD,Quantum Computing,Law,Research Scientist,Apple,Education,19,"HTML, AWS, Kubernetes","AI, ML"
David Clark,2004,Phoenix,Harvard University,Civil Engineering,B.Sc,Quantum Computing,Psychology,Operations Manager,Microsoft,Consulting,3,"SQL, C++, AWS","Data Science, Renewable Energy"
Jessica Lewis,2003,Philadelphia,Stanford University,Physics,M.Tech,Machine Learning,Philosophy,Product Manager,IBM,Telecommunications,13,"C++, Git, React","AI, ML"
Bob Clark,2012,Dallas,Harvard University,Electrical Engineering,MBA,Machine Learning,Sociology,Business Analyst,Intel,Consulting,2,"JavaScript, CSS, Keras","Renewable Energy, Quantum Computing"
Linda Clark,2004,Dallas,University of Pennsylvania,Business Administration,M.Sc,Cybersecurity,Environmental Science,Business Analyst,Microsoft,Consulting,2,"Keras, JavaScript, SQL","Cybersecurity, Robotics"
Jessica Lee,2011,Chicago,University of Chicago,Mechanical Engineering,B.Tech,Renewable Energy,Statistics,Software Engineer,Netflix,Finance,22,"Keras, JavaScript, Git","Business Strategy, ML"
Linda Smith,2003,San Diego,Harvard University,Mathematics,M.Tech,Financial Engineering,Statistics,Software Engineer,Apple,Technology,2,"Java, SQL, AWS","Cybersecurity, Business Strategy"
Linda Lee,2008,Philadelphia,Harvard University,Economics,B.Sc,Business Analytics,Statistics,Operations Manager,Microsoft,Energy,5,"Git, Keras, TensorFlow","AI, IoT"
Linda Lee,2022,Chicago,Columbia University,Civil Engineering,PhD,Quantum Computing,Statistics,Marketing Manager,Netflix,Technology,4,"AWS, Docker, HTML","Robotics, Cybersecurity"
Emily Brown,2010,Philadelphia,Columbia University,Civil Engineering,M.Tech,Renewable Energy,Political Science,Operations Manager,Microsoft,Healthcare,22,"Git, CSS, JavaScript","ML, Business Strategy"
John Lee,2008,Dallas,University of Pennsylvania,Physics,B.Sc,Renewable Energy,Psychology,Research Scientist,Facebook,Healthcare,26,"TensorFlow, C++, SQL","IoT, Robotics"
Michael Lee,2001,San Jose,Stanford University,Physics,PhD,Cybersecurity,Law,Business Analyst,Google,Healthcare,14,"C++, AWS, Keras","Data Science, Robotics"
Bob Scott,2021,San Jose,Stanford University,Electrical Engineering,MBA,Business Analytics,Philosophy,Operations Manager,IBM,Telecommunications,3,"HTML, CSS, SQL","Blockchain, Robotics"
John Brown,2017,Los Angeles,Yale University,Civil Engineering,MBA,Data Science,Psychology,Marketing Manager,Apple,Education,6,"SQL, AWS, TensorFlow","ML, Renewable Energy"
Jessica Lee,2008,San Antonio,California Institute of Technology,Economics,PhD,Business Analytics,Environmental Science,Data Scientist,Adobe,Government,21,"TensorFlow, React, Docker","Blockchain, AI"
Jessica Brown,2009,Los Angeles,California Institute of Technology,Chemistry,M.Sc,Cybersecurity,Political Science,Product Manager,Netflix,Energy,27,"JavaScript, Git, React","AI, Robotics"
Sarah Anderson,2020,San Antonio,University of Pennsylvania,Chemistry,BBA,Robotics,Environmental Science,Business Analyst,Amazon,Automotive,9,"Docker, HTML, SQL","Quantum Computing, Cybersecurity"
Sarah Walker,2002,Chicago,Yale University,Chemistry,BBA,Cybersecurity,Sociology,Consultant,IBM,Technology,13,"Django, Git, HTML","Business Strategy, ML"
Robert Walker,2023,San Antonio,MIT,Civil Engineering,BBA,Robotics,Law,Consultant,Adobe,Telecommunications,21,"Git, CSS, Java","Quantum Computing, ML"
Sarah Smith,2007,New York,California Institute of Technology,Economics,B.Sc,Artificial Intelligence,Philosophy,Operations Manager,Amazon,Energy,8,"Git, AWS, Python","Quantum Computing, AI"
Jessica Lee,2024,Chicago,University of Chicago,Biology,B.Tech,Quantum Computing,History,Research Scientist,Tesla,Healthcare,26,"Django, Kubernetes, Docker","AI, Business Strategy"
Linda Clark,2010,Dallas,University of Chicago,Chemistry,MBA,Cybersecurity,Art History,Marketing Manager,Adobe,Education,30,"AWS, Kubernetes, C++","Robotics, Quantum Computing"
Jessica Lee,2012,Los Angeles,University of Pennsylvania,Chemistry,M.Tech,Business Analytics,Sociology,Operations Manager,Microsoft,Finance,13,"Django, Git, TensorFlow","ML, IoT"
Michael Lewis,2012,Dallas,Stanford University,Biology,BBA,Data Science,Statistics,Software Engineer,Tesla,Government,12,"SQL, Django, HTML","ML, AI"
Alice Scott,2018,Houston,California Institute of Technology,Mechanical Engineering,MBA,Cybersecurity,Law,Research Scientist,Amazon,Education,25,"JavaScript, Keras, C++","Blockchain, Business Strategy"
Sarah Clark,2012,Phoenix,University of Pennsylvania,Electrical Engineering,M.Tech,Quantum Computing,History,DevOps Engineer,Netflix,Energy,27,"Django, Git, CSS","AI, ML"
Robert Lee,2022,Philadelphia,MIT,Mathematics,M.Tech,Machine Learning,Law,Research Scientist,Tesla,Education,12,"Docker, Java, CSS","ML, Blockchain"
Robert Johnson,2001,Chicago,University of Chicago,Biology,B.Sc,Renewable Energy,Linguistics,Research Scientist,Netflix,Education,22,"Django, Git, Java","Renewable Energy, AI"
Emily Clark,2002,Dallas,"University of California, Berkeley",Physics,MBA,Software Engineering,Sociology,Software Engineer,Amazon,Telecommunications,16,"Django, CSS, C++","Quantum Computing, Business Strategy"
Alice Johnson,2019,New York,Harvard University,Physics,M.Sc,Machine Learning,Psychology,Consultant,Facebook,Finance,28,"TensorFlow, C++, Keras","Data Science, Cybersecurity"
Bob Taylor,2016,San Diego,Princeton University,Business Administration,B.Tech,Financial Engineering,Psychology,Full Stack Developer,Adobe,Retail,21,"React, C++, AWS","Renewable Energy, AI"
Emily Lewis,2012,San Antonio,University of Pennsylvania,Civil Engineering,M.Sc,Business Analytics,History,Marketing Manager,Amazon,Consulting,12,"Docker, AWS, JavaScript","Blockchain, Renewable Energy"
David Walker,2020,San Diego,Harvard University,Economics,MBA,Data Science,Philosophy,Business Analyst,Apple,Energy,3,"AWS, HTML, Python","IoT, AI"
Emily Scott,2009,San Jose,University of Pennsylvania,Mechanical Engineering,M.Sc,Artificial Intelligence,Statistics,Marketing Manager,Tesla,Education,18,"AWS, JavaScript, Django","Renewable Energy, ML"
Bob Lee,2024,San Antonio,Stanford University,Economics,PhD,Cybersecurity,Political Science,Marketing Manager,IBM,Government,20,"CSS, Git, Django","Blockchain, Robotics"
Alice Scott,2001,Dallas,Columbia University,Biology,BBA,Artificial Intelligence,Art History,Software Engineer,Microsoft,Healthcare,21,"Python, TensorFlow, AWS","AI, Quantum Computing"
Robert Lewis,2004,Phoenix,MIT,Economics,PhD,Software Engineering,Environmental Science,Operations Manager,Tesla,Consulting,14,"Keras, Kubernetes, TensorFlow","ML, Business Strategy"
Robert Lewis,2024,Chicago,Princeton University,Economics,M.Tech,Quantum Computing,Art History,Consultant,Amazon,Consulting,20,"Java, Django, JavaScript","Renewable Energy, Blockchain"
Bob Anderson,2016,Chicago,University of Pennsylvania,Computer Science,M.Tech,Machine Learning,Linguistics,Consultant,IBM,Government,1,"TensorFlow, C++, SQL","Cybersecurity, ML"
